PERCY, CHARLES, 97 98, S, IL, M
HOPKINS, LARRY, 97 98 99 100 101 102, H, KY, M
SILJANDER, MARK, 97 98 99, H, MI, M
BENNETT, CHARLES, 97 98 99 100 101 102, H, FL, M
HILER, JOHN, 97 98 99 100 101, H, IN, M
COLEMAN, EARL, 97 98 99 100 101 102, H, MO, M
KINDNESS, THOMAS, 97 98 99, H, OH, M
KOGOVSEK, RAYMOND, 97 98, H, CO, M
TRIBLE, PAUL, 97 98 99 100, H, VA, M
GINN, RONALD, 97, H, GA, M
NELSON, BILL, 97 98 99 100 101 107 108 109 110 111 112 113 114, H, FL, M
BRINKLEY, JACK, 97, H, GA, M
CHENEY, RICHARD, 97 98 99 100 101, H, WY, M
MURPHY, AUSTIN, 97 98 99 100 101 102 103, H, PA, M
TAUZIN, WILLIAM, 97 98 99 100 101 102 103 104 105 106 107 108, H, LA, M
FAZIO, VICTOR, 97 98 99 100 101 102 103 104 105, H, CA, M
MYERS, JOHN, 97 98 99 100 101 102 103 104, H, IN, M
LIVINGSTON, ROBERT, 97 98 99 100 101 102 103 104 105 106, H, LA, M
EARLY, JOSEPH, 97 98 99 100 101 102, H, MA, M
VANDER JAGT, GUY, 97 98 99 100 101 102, H, MI, M
HATCHER, CHARLES, 97 98 99 100 101 102, H, GA, M
ROYBAL, EDWARD, 97 98 99 100 101 102, H, CA, M
GRISHAM, WAYNE, 97, H, CA, M
HUTTO, EARL, 97 98 99 100 101 102 103, H, FL, M
MCCURDY, DAVID, 97 98 99 100 101 102 103, H, OK, M
DERRICK, BUTLER, 97 98 99 100 101 102 103, H, SC, M
MADIGAN, EDWARD, 97 98 99 100 101 102, H, IL, M
GREGG, JUDD, 97 98 99 100 103 104 105 106 107 108 109 110 111, H, NH, M
MARLENEE, RONALD, 97 98 99 100 101 102, H, MT, M
ANTHONY, BERYL, 97 98 99 100 101 102, H, AR, M
TAYLOR, GENE, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, MO, M
HOYER, STENY, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MD, M
WHITEHURST, GEORGE, 97 98 99, H, VA, M
WHITE, RICHARD, 97 104 105, H, TX, M
ATKINSON, EUGENE, 97, H, PA, M
APPLEGATE, DOUGLAS, 97 98 99 100 101 102 103, H, OH, M
WHITTAKER, ROBERT, 97 98 99 100 101, H, KS, M
EMERY, DAVID, 97, H, ME, M
DOWDY, CHARLES, 97 98 99 100, H, MS, M
SABO, MARTIN, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, MN, M
ROBINSON, JAMES, 97 98, H, VA, M
OXLEY, MICHAEL, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, OH, M
DECKARD, HUEY, 97, H, IN, M
MOLLOHAN, ROBERT, 97, H, WV, M
DUNCAN, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, TN, M
HENDON, WILLIAM, 97 99, H, NC, M
BREAUX, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108, H, LA, M
WHITLEY, CHARLES, 97 98 99, H, NC, M
KENNELLY, BARBARA, 97 98 99 100 101 102 103 104 105, H, CT, F
BRADY, NICHOLAS, 97, S, NJ, M
MARTINEZ, MATTHEW, 97 98 99 100 101 102 103 104 105 106, H, CA, M
BYRD, HARRY, 97, S, VA, M
BURTON, PHILLIP, 97 98, H, CA, M
EDWARDS, MARVIN, 97 98 99 100 101 102, H, OK, M
LONG, RUSSELL, 97 98 99, S, LA, M
ASHBROOK, JEAN, 97, H, OH, F
BYRD, ROBERT, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111, S, WV, M
BURTON, JOHN, 97, H, CA, M
COYNE, WILLIAM, 97 98 99 100 101 102 103 104 105 106 107, H, PA, M
COYNE, JAMES, 97, H, PA, M
CRANE, PHILIP, 97 98 99 100 101 102 103 104 105 106 107 108, H, IL, M
HALL, SAM, 97 98 99, H, TX, M
DANIEL, ROBERT, 97, H, VA, M
FORD, WILLIAM, 97 98 99 100 101 102 103, H, MI, M
CRANE, DANIEL, 97 98, H, IL, M
ASHBROOK, JOHN, 97, H, OH, M
HALL, RALPH, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, TX, M
ROTH, WILLIAM, 97 98 99 100 101 102 103 104 105 106, S, DE, M
MITCHELL, GEORGE, 97 98 99 100 101 102 103, S, ME, M
HAWKINS, AUGUSTUS, 97 98 99 100 101, H, CA, M
HAWKINS, PAULA, 97 98 99, S, FL, F
FORD, WENDELL, 97 98 99 100 101 102 103 104 105, S, KY, M
GOLDWATER, BARRY, 97 98 99, S, AZ, M
WILLIAMS, HARRISON, 97, S, NJ, M
ANDREWS, MARK, 97 98 99, S, ND, M
DIXON, ALAN, 97 98 99 100 101 102, S, IL, M
JOHNSTON, JOHN, 97 98 99 100 101 102 103 104, S, LA, M
DIXON, JULIAN, 97 98 99 100 101 102 103 104 105 106, H, CA, M
ROTH, TOBY, 97 98 99 100 101 102 103 104, H, WI, M
JOHNSTON, WALTER, 97, H, NC, M
ANDREWS, IKE, 97 98, H, NC, M
COLLINS, JAMES, 97, H, TX, M
SMITH, VIRGINIA, 97 98 99 100 101, H, NE, F
MARTIN, LYNN, 97 98 99 100 101, H, IL, F
COLLINS, CARDISS, 97 98 99 100 101 102 103 104, H, IL, F
HALL, KATIE, 97 98, H, IN, F
JONES, JAMES, 97 98 99, H, OK, M
BAILEY, DONALD, 97, H, PA, M
BROWN, CLARENCE, 97, H, OH, M
MARTIN, JAMES, 97 98, H, NC, M
EDWARDS, WILLIAM, 97 98 99 100 101 102 103, H, CA, M
BAILEY, R., 97, H, MO, M
SMITH, CHRISTOPHER, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NJ, M
EVANS, THOMAS, 97 98 99, H, DE, M
YOUNG, C., 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, FL, M
MILLER, CLARENCE, 97 98 99 100 101 102, H, OH, M
SMITH, NEAL, 97 98 99 100 101 102 103, H, IA, M
YOUNG, ROBERT, 97 98 99, H, MO, M
HALL, TONY, 97 98 99 100 101 102 103 104 105 106 107, H, OH, M
ROBERTS, PAT, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, KS, M
LONG, CLARENCE, 97 98, H, MD, M
FORD, HAROLD, 97 98 99 100 101 102 103 104 105 106 107 108 109, H, TN, M
WEBER, EDWARD, 97, H, OH, M
SMITH, DENNIS, 97, H, OR, M
JONES, ED, 97 98 99 100, H, TN, M
MITCHELL, PARREN, 97 98 99, H, MD, M
EVANS, BILLY, 97, H, GA, M
SMITH, ALBERT, 97, H, AL, M
JONES, WALTER, 97 98 99 100 101 102 104 105 106 107 108 109 110 111 112 113 114, H, NC, M
MILLER, GEORGE, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, CA, M
EVANS, DAVID, 97, H, IN, M
HANSEN, JAMES, 97 98 99 100 101 102 103 104 105 106 107, H, UT, M
BROWN, GEORGE, 97 98 99 100 101 102 103 104 105 106, H, CA, M
WILLIAMS, JOHN, 97 98 99 100 101 102 103 104, H, MT, M
ROBERTS, CLINT, 97, H, SD, M
MARTIN, DAVID, 97 98 99 100 101 102, H, NY, M
WEBER, JOHN, 97 98 99 100 101 102, H, MN, M
WILLIAMS, LYLE, 97 98, H, OH, M
MITCHELL, DONALD, 97, H, NY, M
YOUNG, DON, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, AK, M
HANSEN, GEORGE, 97 98, H, ID, M
SMITH, JOSEPH, 97, H, PA, M
LONG, GILLIS, 97 98 99, H, LA, M
BATES, JIM, 98 99 100 101, H, CA, M
CHANDLER, RODNEY, 98 99 100 101 102, H, WA, M
MCCAIN, JOHN, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, AZ, M
BOEHLERT, SHERWOOD, 98 99 100 101 102 103 104 105 106 107 108 109, H, NY, M
ZSCHAU, EDWIN, 98 99, H, CA, M
BARTLETT, HARRY, 98 99 100 101 102, H, TX, M
BATEMAN, HERBERT, 98 99 100 101 102 103 104 105 106, H, VA, M
MRAZEK, ROBERT, 98 99 100 101 102, H, NY, M
KOSTMAYER, PETER, 98 99 100 101 102, H, PA, M
GEKAS, GEORGE, 98 99 100 101 102 103 104 105 106 107, H, PA, M
BOXER, BARBARA, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
BORSKI, ROBERT, 98 99 100 101 102 103 104 105 106 107, H, PA, M
PACKARD, RON, 98 99 100 101 102 103 104 105 106, H, CA, M
MCNULTY, JAMES, 98, H, AZ, M
DURBIN, RICHARD, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, IL, M
LAUTENBERG, FRANK, 98 99 100 101 102 103 104 105 106 108 109 110 111 112 113, S, NJ, M
HECHT, JACOB, 98 99 100, S, NV, M
ROWLAND, JAMES, 98 99 100 101 102 103, H, GA, M
VALENTINE, ITIMOUS, 98 99 100 101 102 103, H, NC, M
MCKERNAN, JOHN, 98 99, H, ME, M
SIKORSKI, GERALD, 98 99 100 101 102, H, MN, M
ERDREICH, BEN, 98 99 100 101 102, H, AL, M
WISE, ROBERT, 98 99 100 101 102 103 104 105 106, H, WV, M
TORRES, ESTEBAN, 98 99 100 101 102 103 104 105, H, CA, M
REID, HARRY, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NV, M
LEVINE, MELDON, 98 99 100 101 102, H, CA, M
SLATTERY, JAMES, 98 99 100 101 102 103, H, KS, M
WHEAT, ALAN, 98 99 100 101 102 103, H, MO, M
STAGGERS, HARLEY, 98 99 100 101 102, H, WV, M
MOLLOHAN, ALAN, 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, WV, M
SUNDQUIST, DONALD, 98 99 100 101 102 103, H, TN, M
SISISKY, NORMAN, 98 99 100 101 102 103 104 105 106 107, H, VA, M
KOLTER, JOSEPH, 98 99 100 101 102, H, PA, M
MACK, CONNIE, 98 99 100 101 102 103 104 105 106 109 110 111 112, H, FL, M
BILIRAKIS, MICHAEL, 98 99 100 101 102 103 104 105 106 107 108 109, H, FL, M
KAPTUR, MARCY, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, OH, F
TOWNS, EDOLPHUS, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, NY, M
CARR, MILTON, 98 99 100 101 102 103, H, MI, M
OLIN, JAMES, 98 99 100 101 102, H, VA, M
MOODY, JIM, 98 99 100 101 102, H, WI, M
FEIGHAN, EDWARD, 98 99 100 101 102, H, OH, M
TORRICELLI, ROBERT, 98 99 100 101 102 103 104 105 106 107, H, NJ, M
JOHNSON, NANCY, 98 99 100 101 102 103 104 105 106 107 108 109, H, CT, F
LIPINSKI, WILLIAM, 98 99 100 101 102 103 104 105 106 107 108, H, IL, M
BINGAMAN, JEFF, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, S, NM, M
CLARKE, JAMES, 98 100 101, H, NC, M
SPRATT, JOHN, 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, SC, M
HARRISON, FRANK, 98, H, PA, M
RICHARDSON, WILLIAM, 98 99 100 101 102 103 104 105, H, NM, M
BOSCO, DOUGLAS, 98 99 100 101, H, CA, M
BOUCHER, FREDERICK, 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, VA, M
ACKERMAN, GARY, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, NY, M
MACKAY, KENNETH, 98 99 100, H, FL, M
TALLON, ROBERT, 98 99 100 101 102, H, SC, M
RIDGE, THOMAS, 98 99 100 101 102 103, H, PA, M
BERMAN, HOWARD, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
MCCANDLESS, ALFRED, 98 99 100 101 102 103, H, CA, M
PENNY, TIMOTHY, 98 99 100 101 102 103, H, MN, M
RAY, RICHARD, 98 99 100 101 102, H, GA, M
CARPER, THOMAS, 98 99 100 101 102 107 108 109 110 111 112 113 114, H, DE, M
FRANKLIN, WILLIAM, 98 99, H, MS, M
DANIEL, WILBUR, 98 99 100, H, VA, M
MCCLOSKEY, FRANCIS, 98 99 100 101 102 103, H, IN, M
KASICH, JOHN, 98 99 100 101 102 103 104 105 106, H, OH, M
OWENS, MAJOR, 98 99 100 101 102 103 104 105 106 107 108 109, H, NY, M
ORTIZ, SOLOMON, 98 99 100 101 102 103 104 105 106 107 108 109 110 111, H, TX, M
NIELSON, HOWARD, 98 99 100 101, H, UT, M
BRYANT, JOHN, 98 99 100 101 102 103 104, H, TX, M
VUCANOVICH, BARBARA, 98 99 100 101 102 103 104, H, NV, F
DEWINE, MICHAEL, 98 99 100 101 104 105 106 107 108 109, H, OH, M
SCHAEFER, DANIEL, 98 99 100 101 102 103 104 105, H, CO, M
LLOYD, MARILYN, 98 99 100 101 102 103, H, TN, F
VANDERGRIFF, TOMMY, 98, H, TX, M
COOPER, JIM, 98 99 100 101 102 103 108 109 110 111 112 113 114, H, TN, M
HAYES, CHARLES, 98 99 100 101 102, H, IL, M
BRITT, CHARLES, 98, H, NC, M
DARDEN, GEORGE, 98 99 100 101 102 103, H, GA, M
KLECZKA, GERALD, 98 99 100 101 102 103 104 105 106 107 108, H, WI, M
BURTON, DAN, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, H, IN, M
SMITH, ROBERT, 98 99 100 101 102 103 104 105 106 107, H, OR, M
LEVIN, SANDER, 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MI, M
WILSON, PETE, 98 99 100 101, S, CA, M
EVANS, DANIEL, 98 99 100, S, WA, M
BURTON, SALA, 98 99 100, H, CA, F
MORRISON, BRUCE, 98 99 100 101, H, CT, M
SMITH, LAWRENCE, 98 99 100 101 102, H, FL, M
LEWIS, THOMAS, 98 99 100 101 102 103, H, FL, M
EVANS, LANE, 98 99 100 101 102 103 104 105 106 107 108 109, H, IL, M
COLEMAN, RONALD, 98 99 100 101 102 103 104, H, TX, M
LEHMAN, RICHARD, 98 99 100 101 102 103, H, CA, M
THOMAS, ROBERT, 98 99 100 101 102, H, GA, M
ANDREWS, MICHAEL, 98 99 100 101 102 103, H, TX, M
SWINDALL, PATRICK, 99 100, H, GA, M
KERRY, JOHN, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, S, MA, M
STRANG, MICHAEL, 99, H, CO, M
COBEY, WILLIAM, 99, H, NC, M
KOLBE, JAMES, 99 100 101 102 103 104 105 106 107 108 109, H, AZ, M
BOULTER, ELDON, 99 100, H, TX, M
BARTON, JOE, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
MONSON, DAVID, 99, H, UT, M
ARMEY, RICHARD, 99 100 101 102 103 104 105 106 107, H, TX, M
BENTLEY, HELEN, 99 100 101 102 103, H, MD, F
CALLAHAN, H., 99 100 101 102 103 104 105 106 107, H, AL, M
SLAUGHTER, DANIEL, 99 100 101 102, H, VA, M
LIGHTFOOT, JAMES, 99 100 101 102 103 104, H, IA, M
DIOGUARDI, JOSEPH, 99 100, H, NY, M
GROTBERG, JOHN, 99, H, IL, M
COBLE, HOWARD, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, NC, M
STALLINGS, RICHARD, 99 100 101 102, H, ID, M
GALLO, DEAN, 99 100 101 102 103, H, NJ, M
ROBINSON, TOMMY, 99 100 101, H, AR, M
TRAFICANT, JAMES, 99 100 101 102 103 104 105 106 107, H, OH, M
MCCONNELL, MITCH, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, S, KY, M
HENRY, PAUL, 99 100 101 102, H, MI, M
MANTON, THOMAS, 99 100 101 102 103 104 105, H, NY, M
BRUCE, TERRY, 99 100 101 102, H, IL, M
DELAY, THOMAS, 99 100 101 102 103 104 105 106 107 108 109, H, TX, M
KANJORSKI, PAUL, 99 100 101 102 103 104 105 106 107 108 109 110 111, H, PA, M
BUSTAMANTE, ALBERT, 99 100 101 102, H, TX, M
SAXTON, H., 99 100 101 102 103 104 105 106 107 108 109 110, H, NJ, M
VISCLOSKY, PETER, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, IN, M
COMBEST, LARRY, 99 100 101 102 103 104 105 106 107 108, H, TX, M
MEYERS, JAN, 99 100 101 102 103 104, H, KS, F
SCHUETTE, BILL, 99 100 101, H, MI, M
MCMILLAN, JOHN, 99 100 101 102 103, H, NC, M
ECKERT, FRED, 99, H, NY, M
ROCKEFELLER, JOHN, 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113, S, WV, M
GORDON, BARTON, 99 100 101 102 103 104 105 106 107 108 109 110 111, H, TN, M
FAWELL, HARRIS, 99 100 101 102 103 104 105, H, IL, M
FUSTER, JAIME, 99 100 101 102, H, PR, M
SWEENEY, DAVID, 99 100, H, TX, M
BLAZ, BEN, 99 100 101 102, H, GU, M
ATKINS, CHESTER, 99 100 101 102, H, MA, M
CHAPMAN, JIM, 99 100 101 102 103 104, H, TX, M
WALDON, ALTON, 99, H, NY, M
ABERCROMBIE, NEIL, 99 102 103 104 105 106 107 108 109 110 111, H, HI, M
LONG, CATHERINE, 99, H, LA, F
MILLER, JOHN, 99 100 101 102, H, WA, M
ROWLAND, JOHN, 99 100 101, H, CT, M
GRAY, KENNETH, 99 100, H, IL, M
BAKER, RICHARD, 100 101 102 103 104 105 106 107 108 109 110, H, LA, M
GRAHAM, BOB, 100 101 102 103 104 105 106 107 108, S, FL, M
WELDON, W., 100 101 102 103 104 105 106 107 108 109, H, PA, M
MFUME, KWEISI, 100 101 102 103 104, H, MD, M
DEFAZIO, PETER, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, OR, M
CARDIN, BENJAMIN, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MD, M
GALLEGLY, ELTON, 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
MCMILLEN, CHARLES, 100 101 102, H, MD, M
JONTZ, JAMES, 100 101 102, H, IN, M
ADAMS, BROCKMAN, 100 101 102, S, WA, M
INHOFE, JAMES, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, OK, M
ESPY, ALBERT, 100 101 102 103, H, MS, M
RAVENEL, ARTHUR, 100 101 102 103, H, SC, M
MORELLA, CONSTANCE, 100 101 102 103 104 105 106 107, H, MD, F
CAMPBELL, BEN, 100 101 102 103 104 105 106 107 108, H, CO, M
KONNYU, ERNEST, 100, H, CA, M
GRANDY, FREDERICK, 100 101 102 103, H, IA, M
HASTERT, J., 100 101 102 103 104 105 106 107 108 109 110, H, IL, M
FLAKE, FLOYD, 100 101 102 103 104 105, H, NY, M
BALLENGER, CASS, 100 101 102 103 104 105 106 107 108, H, NC, M
KYL, JON, 100 101 102 103 104 105 106 107 108 109 110 111 112, H, AZ, M
BUECHNER, JOHN, 100 101, H, MO, M
UPTON, FRED, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MI, M
BUNNING, JIM, 100 101 102 103 104 105 106 107 108 109 110 111, H, KY, M
HEFLEY, JOEL, 100 101 102 103 104 105 106 107 108 109, H, CO, M
SKAGGS, DAVID, 100 101 102 103 104 105, H, CO, M
HERGER, WALTER, 100 101 102 103 104 105 106 107 108 109 110 111 112, H, CA, M
SANFORD, JAMES, 100 101 102, S, NC, M
CONRAD, KENT, 100 101 102 103 104 105 106 107 108 109 110 111 112, S, ND, M
HOUGHTON, AMORY, 100 101 102 103 104 105 106 107 108, H, NY, M
LANCASTER, H., 100 101 102 103, H, NC, M
SAWYER, THOMAS, 100 101 102 103 104 105 106 107, H, OH, M
HOCHBRUECKNER, GEORGE, 100 101 102 103, H, NY, M
HOLLOWAY, CLYDE, 100 101 102, H, LA, M
LUKENS, DONALD, 100 101, H, OH, M
BRENNAN, JOSEPH, 100 101, H, ME, M
BILBRAY, JAMES, 100 101 102 103, H, NV, M
PATTERSON, ELIZABETH, 100 101 102, H, SC, F
PICKETT, OWEN, 100 101 102 103 104 105 106, H, VA, M
BOND, CHRISTOPHER, 100 101 102 103 104 105 106 107 108 109 110 111, S, MO, M
KARNES, DAVID, 100, S, NE, M
SAIKI, PATRICIA, 100 101, H, HI, F
GRANT, JAMES, 100 101, H, FL, M
PELOSI, NANCY, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
HARRIS, CLAUDE, 100 101 102, H, AL, M
SHAYS, CHRISTOPHER, 100 101 102 103 104 105 106 107 108 109 110, H, CT, M
NAGLE, DAVID, 100 101 102, H, IA, M
CLEMENT, ROBERT, 100 101 102 103 104 105 106 107, H, TN, M
MCCRERY, JAMES, 100 101 102 103 104 105 106 107 108 109 110, H, LA, M
COSTELLO, JERRY, 100 101 102 103 104 105 106 107 108 109 110 111 112, H, IL, M
PAYNE, LEWIS, 100 101 102 103 104, H, VA, M
KENNEDY, JOSEPH, 100 101 102 103 104 105 113 114, H, MA, M
SLAUGHTER, LOUISE, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, F
JOHNSON, TIM, 100 101 102 103 104 105 106 107 108 109 110 111 112 113, H, SD, M
OWENS, DOUGLAS, 100 101 102, H, UT, M
LEWIS, JOHN, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, GA, M
SMITH, LAMAR, 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
DAVIS, JACK, 100, H, IL, M
PRICE, DAVID, 100 101 102 103 105 106 107 108 109 110 111 112 113 114, H, NC, M
HAYES, JAMES, 100 101 102 103 104, H, LA, M
JAMES, CRAIG, 101 102, H, FL, M
STEARNS, CLIFFORD, 101 102 103 104 105 106 107 108 109 110 111 112, H, FL, M
HOAGLAND, PETER, 101 102 103, H, NE, M
BURNS, CONRAD, 101 102 103 104 105 106 107 108 109, S, MT, M
KOHL, HERBERT, 101 102 103 104 105 106 107 108 109 110 111 112, S, WI, M
ROBB, CHARLES, 101 102 103 104 105 106, S, VA, M
LIEBERMAN, JOSEPH, 101 102 103 104 105 106 107 108 109 110 111 112, S, CT, M
BRYAN, RICHARD, 101 102 103 104 105 106, S, NV, M
GOSS, PORTER, 101 102 103 104 105 106 107 108, H, FL, M
WALSH, JAMES, 101 102 103 104 105 106 107 108 109 110, H, NY, M
SARPALIUS, WILLIAM, 101 102 103, H, TX, M
SANGMEISTER, GEORGE, 101 102 103, H, IL, M
KERREY, J., 101 102 103 104 105 106, S, NE, M
TANNER, JOHN, 101 102 103 104 105 106 107 108 109 110 111, H, TN, M
ENGEL, ELIOT, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
MACHTLEY, RONALD, 101 102 103, H, RI, M
MCNULTY, MICHAEL, 101 102 103 104 105 106 107 108 109 110, H, NY, M
LOWEY, NITA, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, F
PALLONE, FRANK, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NJ, M
PAXON, L., 101 102 103 104 105, H, NY, M
DOUGLAS, CHARLES, 101, H, NH, M
COX, C., 101 102 103 104 105 106 107 108 109, H, CA, M
MCDERMOTT, JIM, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, WA, M
POSHARD, GLENN, 101 102 103 104 105, H, IL, M
ROHRABACHER, DANA, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
FALEOMAVAEGA, ENI, 101 102 103 104 105 106 107 108 109 110 111 112 113, H, AS, M
LONG THOMPSON, JILL, 101 102, H, IN, F
UNSOELD, JOLENE, 101 102 103, H, WA, F
LAUGHLIN, GREGORY, 101 102 103 104, H, TX, M
PARKER, MICHAEL, 101 102 103 104 105, H, MS, M
BROWDER, JOHN, 101 102 103 104, H, AL, M
HANCOCK, MELTON, 101 102 103 104, H, MO, M
SCHIFF, STEVEN, 101 102 103 104 105, H, NM, M
GILLMOR, PAUL, 101 102 103 104 105 106 107 108 109 110, H, OH, M
ROS-LEHTINEN, ILEANA, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, FL, F
CONDIT, GARY, 101 102 103 104 105 106 107, H, CA, M
GEREN, PRESTON, 101 102 103 104, H, TX, M
WASHINGTON, CRAIG, 101 102 103, H, TX, M
SERRANO, JOSE, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
MINK, PATSY, 101 102 103 104 105 106 107, H, HI, F
MOLINARI, SUSAN, 101 102 103 104 105, H, NY, F
JOHNSTON, HARRY, 101 102 103 104, H, FL, M
JONES, BEN, 101 102, H, GA, M
CAMPBELL, TOM, 101 102 104 105 106, H, CA, M
NEAL, RICHARD, 101 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MA, M
PAYNE, DONALD, 101 102 103 104 105 106 107 108 109 110 111 113 114, H, NJ, M
SMITH, PETER, 101, H, VT, M
THOMAS, CRAIG, 101 102 103 104 105 106 107 108 109 110, H, WY, M
SMITH, LARKIN, 101, H, MS, M
REED, JOHN, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, RI, M
CAMP, DAVE, 102 103 104 105 106 107 108 109 110 111 112 113, H, MI, M
SANDERS, BERNARD, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, VT, M
SEYMOUR, JOHN, 102, S, CA, M
WELLSTONE, PAUL, 102 103 104 105 106 107, S, MN, M
NICHOLS, RICHARD, 102, H, KS, M
BOEHNER, JOHN, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, OH, M
SANTORUM, RICHARD, 102 103 104 105 106 107 108 109, H, PA, M
ZELIFF, WILLIAM, 102 103 104, H, NH, M
FRANKS, GARY, 102 103 104, H, CT, M
ZIMMER, RICHARD, 102 103 104, H, NJ, M
DOOLEY, CALVIN, 102 103 104 105 106 107 108, H, CA, M
ORTON, WILLIAM, 102 103 104, H, UT, M
WATERS, MAXINE, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
MORAN, JAMES, 102 103 104 105 106 107 108 109 110 111 112 113, H, VA, M
GILCHREST, WAYNE, 102 103 104 105 106 107 108 109 110, H, MD, M
KOPETSKI, MICHAEL, 102 103, H, OR, M
HORN, JOAN, 102, H, MO, F
ROEMER, TIMOTHY, 102 103 104 105 106 107, H, IN, M
LAROCCO, LARRY, 102 103, H, ID, M
JEFFERSON, WILLIAM, 102 103 104 105 106 107 108 109 110, H, LA, M
NORTON, ELEANOR, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, DC, F
RAMSTAD, JAMES, 102 103 104 105 106 107 108 109 110, H, MN, M
NUSSLE, JAMES, 102 103 104 105 106 107 108 109, H, IA, M
HOBSON, DAVID, 102 103 104 105 106 107 108 109 110, H, OH, M
DOOLITTLE, JOHN, 102 103 104 105 106 107 108 109 110, H, CA, M
SWETT, RICHARD, 102 103, H, NH, M
BARRETT, BILL, 102 103 104 105 106, H, NE, M
KLUG, SCOTT, 102 103 104 105, H, WI, M
BACCHUS, JAMES, 102 103, H, FL, M
CRAMER, ROBERT, 102 103 104 105 106 107 108 109 110, H, AL, M
THORNTON, RAYMOND, 102 103 104, H, AR, M
DELAURO, ROSA, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, CT, F
RIGGS, FRANK, 102 104 105, H, CA, M
LUKEN, CHARLES, 102, H, OH, M
ALLARD, WAYNE, 102 103 104 105 106 107 108 109 110, H, CO, M
CUNNINGHAM, RANDALL, 102 103 104 105 106 107 108 109, H, CA, M
BREWSTER, WILLIAM, 102 103 104, H, OK, M
WOFFORD, HARRIS, 102 103, S, PA, M
OLVER, JOHN, 102 103 104 105 106 107 108 109 110 111 112, H, MA, M
EWING, THOMAS, 102 103 104 105 106, H, IL, M
PASTOR, ED, 102 103 104 105 106 107 108 109 110 111 112 113, H, AZ, M
