GUINTA, FRANK C.	G000570
PELL, CLAIBORNE	P000193
ST GERMAIN, FERNAND J.	S000762
STEWART, CHRIS	S001192
MCINNIS, SCOTT	M000477
SANFORD, MARK	S000051
HAMILTON, LEE H.	H000114
BRYAN, RICHARD H.	B000993
HAGEL, CHUCK	H001028
HOLLOWAY, CLYDE	H000729
ABDNOR, JAMES	A000009
ASHFORD, BRAD	A000373
LIVINGSTON, BOB	L000371
EWING, THOMAS W.	E000282
SUTTON, BETTY	S001174
VOLKMER, HAROLD L.	V000112
HIGHTOWER, JACK E.	H000582
MCCARTHY, CAROLYN	M000309
STEVENS, TED	S000888
KUSTER, ANN M.	K000382
FOWLER, WYCHE, JR.	F000329
KLEIN, RON	K000366
DANNER, PAT	D000046
PLASKETT, STACEY E.	P000610
LEVINE, MEL	L000264
KENNELLY, BARBARA B.	K000118
BURNS, MAX	B001249
WATTS, J. C., JR.	W000210
SCARBOROUGH, JOE	S000106
REUSS, HENRY S.	R000165
FRANKEN, AL	F000457
LAGOMARSINO, ROBERT J.	L000020
PACKWOOD, BOB	P000009
HORN, STEPHEN	H000789
PANETTA, LEON	P000047
WYNN, ALBERT RUSSELL	W000784
MCCURDY, DAVE	M000398
HARRIS, KATHERINE	H001035
EDWARDS, DON	E000064
HOLLINGS, ERNEST F.	H000725
MACK, CONNIE	M001155
HALL, RALPH M.	H000067
KEATING, WILLIAM R.	K000375
PINGREE, CHELLIE	P000597
MANCHIN, JOE, III	M001183
WALGREN, DOUG	W000044
DOGGETT, LLOYD	D000399
PERRIELLO, THOMAS S.P.	P000600
HATCH, ORRIN G.	H000338
GRISHAM, WAYNE R.	G000480
MOLLOHAN, ROBERT H.	M000845
MURPHY, AUSTIN J.	M001088
DELAHUNT, BILL	D000210
DAVIS, DANNY K.	D000096
HOCHBRUECKNER, GEORGE J.	H000670
BRADLEY, BILL	B001225
DONNELLY, JOE	D000607
CLARKE, JAMES MCC.	C000462
CICILLINE, DAVID N.	C001084
KENNEDY, JOSEPH P., II	K000110
SWIFT, AL	S001115
COLLINS, MAC	C000640
DE LUGO, RON	D000209
CRANE, PHILIP M.	C000873
LAMBORN, DOUG	L000564
HUTCHINSON, ASA	H001014
HOLDING, GEORGE	H001065
MEYERS, JAN	M000684
SAVAGE, GUS	S000081
NOEM, KRISTI L.	N000184
KELLY, TRENT	K000388
HAWKINS, AUGUSTUS F.	H000367
FLANAGAN, MICHAEL PATRICK	F000187
BROWNLEY, JULIA	B001285
CULBERSON, JOHN ABNEY	C001048
BYRD, ROBERT C.	B001210
RANGEL, CHARLES B.	R000053
COELHO, ANTHONY LEE	C000581
DANIEL, ROBERT W., JR.	D000037
CAO, ANH "JOSEPH"	C001079
DEUTCH, THEODORE E.	D000610
MOORE, DENNIS	M001140
WICKER, ROGER F.	W000437
PAUL, RON	P000583
LEDERER, RAYMOND F.	L000187
KILMER, DEREK	K000381
THOMPSON, GLENN	T000467
CAMPBELL, JOHN	C001064
LONG, CLARENCE D.	L000413
DIAZ-BALART, MARIO	D000600
BOLLING, RICHARD	B000605
CARNEY, JOHN C., JR.	C001083
GERLACH, JIM	G000549
SEKULA GIBBS, SHELLEY	S001166
TEAGUE, HARRY	T000466
FORD, WENDELL H.	F000268
BONNER, JO	B001244
CLAUSEN, DON H.	C000475
WALKER, ROBERT S.	W000068
MCMILLEN, THOMAS	M000573
MICHAUD, MICHAEL H.	M001149
BARROW, JOHN	B001252
BUCSHON, LARRY	B001275
COBURN, TOM	C000560
OWENS, MAJOR R.	O000159
KRATOVIL, FRANK,  JR.	K000371
BOUSTANY, CHARLES W., JR.	B001255
CAPUANO, MICHAEL E.	C001037
TRAXLER, BOB	T000356
SMITH, BOB	S000606
SMITH, ALBERT L., JR.	S000514
BURGESS, MICHAEL C.	B001248
FRANKS, GARY A.	F000348
BOYD, ALLEN	B000716
POSEY, BILL	P000599
CHAPMAN, JIM	C000312
SPEIER, JACKIE	S001175
CREMEANS, FRANK A.	C000903
BALLANCE, FRANK W.,  JR.	B001238
SNOWE, OLYMPIA J.	S000663
JINDAL, BOBBY	J000287
BOWEN, DAVID R.	B000682
SHEPHERD, KAREN	S000332
SCHMIDT, JEAN	S001164
ABRAHAM, RALPH LEE	A000374
TRIBLE, PAUL S., JR.	T000367
DESAULNIER, MARK	D000623
JACKSON LEE, SHEILA	J000032
MCEWEN, BOB	M000432
CRANSTON, ALAN	C000877
POE, TED	P000592
SMITH, LAMAR	S000583
DECKARD, JOEL	D000183
BOSWELL, LEONARD L.	B000652
MEEK, CARRIE P.	M000628
KREIDLER, MIKE	K000328
MORAN, JERRY	M000934
MULLIN, MARKWAYNE	M001190
BAYH, EVAN	B001233
GROTBERG, JOHN E.	G000499
LAHOOD, DARIN	L000585
PRITCHARD, JOEL	P000546
COCHRAN, THAD	C000567
CORCORAN, TOM	C000773
THORNBERRY, MAC	T000238
MILLER, JOHN R.	M000736
CAMP, DAVE	C000071
HANNA, RICHARD L.	H001051
BERA, AMI	B001287
OBEY, DAVID R.	O000007
BASS, KAREN	B001270
LOUDERMILK, BARRY	L000583
RANDOLPH, JENNINGS	R000046
CANTOR, ERIC	C001046
MCKINNEY, STEWART B.	M000527
MCCLOSKEY, PAUL N., JR.	M000343
HODES, PAUL W.	H001043
HERSETH SANDLIN, STEPHANIE	H001037
VOINOVICH, GEORGE V.	V000126
WHITEHOUSE, SHELDON	W000802
JOHNSON, RON	J000293
BENNET, MICHAEL F.	B001267
MINGE, DAVID	M000795
BROOKS, MO	B001274
COLORDAO, ANTONIO	C000646
ROS-LEHTINEN, ILEANA	R000435
BARKLEY, DEAN M.	B001237
KNOLLENBERG, JOE	K000288
BARTLETT, ROSCOE G.	B000208
THOMAS, LINDSAY	T000184
GONZALEZ, HENRY B.	G000272
GOSS, PORTER J.	G000336
FUQUA, DON	F000430
NEY, ROBERT W.	N000081
RUSSO, MARTIN A.	R000543
REHBERG, DENNY	R000571
BLUNT, ROY	B000575
MCDADE, JOSEPH M.	M000399
HEFNER, W. G. (BILL)	H000448
POMBO, RICHARD W.	P000419
COUGHLIN, LAWRENCE	C000807
STENNIS, JOHN C.	S000852
MCINTOSH, DAVID M.	M000481
ROKITA, TODD	R000592
RUNYAN, JON	R000594
COOPER, JIM	C000754
COURTNEY, JOE	C001069
MASSIE, THOMAS	M001184
LONG, JILL L.	L000420
MCKEON, HOWARD P. "BUCK"	M000508
HARTNETT, THOMAS F.	H000302
HORN, JOAN KELLY	H000788
DUNCAN, JEFF	D000615
HAYES, CHARLES A.	H000388
STUDDS, GERRY E.	S001040
GARCIA, JOE	G000573
QUAYLE, BENJAMIN	Q000024
THOMAS, CRAIG	T000162
O'NEILL, THOMAS P., JR.	O000098
MITCHELL, GEORGE J.	M000811
BUCHANAN, VERN	B001260
CARTWRIGHT, MATT	C001090
BONIOR, DAVID E.	B000619
BISHOP, SANFORD D., JR.	B000490
VEASEY, MARC A.	V000131
SMITH, NEAL EDWARD	S000596
KLINK, RON	K000270
FLETCHER, ERNIE	F000441
ABRAHAM, SPENCER	A000355
SHULER, HEATH	S001171
MATTOX, JAMES A.	M000260
KARNES, DAVID K.	K000011
HUDDLESTON, WALTER (DEE)	H000905
PACKARD, RON	P000005
BARRETT, THOMAS M.	B000177
MILLER, BRAD	M001154
BOREN, DAN	B001254
JOHNSTON, EUGENE (GENE)	J000200
COOLEY, WES	C000737
ANTHONY, BERYL, JR.	A000213
HEFLEY, JOEL	H000444
BALDWIN, TAMMY	B001230
MATSUNAGA, SPARK M.	M000250
WOODALL, ROB	W000810
WARNER, MARK R.	W000805
LAROCCO, LARRY	L000098
MCNULTY, MICHAEL R.	M000590
HEITKAMP, HEIDI	H001069
SHEA-PORTER, CAROL	S001170
YARMUTH, JOHN A.	Y000062
SCHEUER, JAMES H.	S000124
CONABLE, BARBER B., JR.	C000666
ZABLOCKI, CLEMENT J.	Z000001
SEIBERLING, JOHN F.	S000230
JEFFORDS, JAMES M.	J000072
WHITE, RICK	W000391
FEINGOLD, RUSSELL D.	F000061
DYMALLY, MERVYN M.	D000592
TORRES, ESTABAN EDWARD	T000316
GUTHRIE, BRETT	G000558
WOLF, FRANK R.	W000672
CARSON, ANDRE	C001072
PRICE, TOM	P000591
CHISHOLM, SHIRLEY	C000371
ZELDIN, LEE M.	Z000017
BROWN, HENRY E., JR.	B001235
ROYCE, EDWARD R.	R000487
VISCLOSKY, PETER J.	V000108
TAYLOR, CHARLES H.	T000067
LINCOLN, BLANCHE L.	L000035
WELCH, PETER	W000800
ROMERO-BARCELO, CARLOS A.	R000417
VITTER, DAVID	V000127
BARCIA, JAMES A.	B000134
BRITT, ROBIN	B000845
UDALL, MARK	U000038
BRADY, ROBERT A.	B001227
PICKETT, OWEN B.	P000326
MEEK, KENDRICK B.	M001148
ATKINS, CHESTER G.	A000226
GILMAN, BENJAMIN A.	G000212
CHIESA, JEFF	C001100
SHUMWAY, NORMAN D.	S000393
WEBER, ED	W000235
ROE, DAVID P.	R000582
MICA, DANIEL ANDREW	M000688
BIDEN, JOSEPH R., JR.	B000444
HUCKABY, THOMAS J. (JERRY)	H000901
ETHERIDGE, BOB	E000226
KASTEN, ROBERT W., JR.	K000019
ROGERS, MIKE J.	R000572
ASHBROOK, JEAN	A000220
GOWDY, TREY	G000566
WILSON, CHARLES A.	W000801
RUDD, ELDON D.	R000495
FRELINGHUYSEN, RODNEY P.	F000372
OTTINGER, RICHARD L.	O000134
FRAZER, VICTOR O.	F000351
MATSUI, DORIS O.	M001163
INGLIS, BOB	I000023
KLINE, JOHN	K000363
PUTNAM, ADAM H.	P000586
DARDEN, GEORGE (BUDDY)	D000051
FERGUSON, MIKE	F000443
HAYES, ROBIN	H001029
WHITTAKER, BOB	W000426
BRADLEY, JEB	B001246
JONES, WALTER B.	J000256
NATCHER, WILLIAM H.	N000009
BERRY, MARION	B000420
HOEVEN, JOHN	H001061
SCHWARZ, JOHN J.H. "JOE"	S001161
REGULA, RALPH	R000141
RATCHFORD, WILLIAM R.	R000067
ARMSTRONG, WILLIAM L.	A000219
KELLER, RIC	K000361
LATOURETTE, STEVEN C.	L000553
ISRAEL, STEVE	I000057
ALLEN, THOMAS H.	A000357
UPTON, FRED	U000031
TOWER, JOHN G.	T000322
BENISHEK, DAN	B001271
JACKSON, JESSE L., JR.	J000283
HENRY, PAUL B.	H000514
HARKIN, TOM	H000206
COMBEST, LARRY	C000653
EVANS, COOPER	E000259
LUCAS, FRANK D.	L000491
LEE, CHRISTOPHER J.	L000568
SYNAR, MIKE	S001139
SABO, MARTIN OLAV	S000005
SCOTT, DAVID	S001157
HARRIS, ANDY	H001052
BARNES, MICHAEL D.	B000160
HASTINGS, ALCEE L.	H000324
BARR, ANDY	B001282
BERG, RICK	B001272
ROGAN, JAMES E.	R000386
UNSOELD, JOLENE	U000017
BUSTOS, CHERI	B001286
GOODWIN, CARTE PATRICK	G000561
LOFGREN, ZOE	L000397
BYRD, HARRY F.,  JR.	B001209
GRIFFITH, H. MORGAN	G000568
BENTIVOLIO, KERRY L.	B001280
KOPETSKI, MIKE	K000312
WEYGAND, ROBERT A.	W000315
OSBORNE, TOM	O000165
MCSALLY, MARTHA	M001197
TAUKE, THOMAS JOSEPH	T000053
VAN HOLLEN, CHRIS	V000128
DANNEMEYER, WILLIAM E.	D000044
BEGICH, MARK	B001265
CARSON, JULIA	C000191
HELMS, JESSE	H000463
SNYDER, VIC	S000672
WHITEHURST, G. WILLIAM	W000406
BOREN, DAVID L.	B000639
OWENS, WILLIAM L.	O000169
ALEXANDER, BILL	A000103
SCHNEIDER, CLAUDINE	S000136
FEENEY, TOM	F000447
KELLY, SUE W.	K000078
WEXLER, ROBERT	W000314
RODINO, PETER W., JR.	R000374
ANDREWS, THOMAS H.	A000211
CROCKETT, GEORGE W., JR.	C000919
CLARKE, YVETTE D.	C001067
SCHILLING, ROBERT T.	S001182
NEWHOUSE, DAN	N000189
BLUMENTHAL, RICHARD	B001277
LUNDINE, STANLEY N.	L000516
GRANGER, KAY	G000377
TANNER, JOHN S.	T000038
BAESLER, SCOTTY	B000028
SLAUGHTER, D. FRENCH, JR.	S000479
VARGAS, JUAN	V000130
SMITH, GORDON H.	S001142
TAYLOR, G.	T000075
BERMAN, HOWARD L.	B000410
TORKILDSEN, PETER G.	T000314
BURR, RICHARD	B001135
KLEIN, HERBERT C.	K000262
HULTGREN, RANDY	H001059
FALLIN, MARY	F000453
WASSERMAN SCHULTZ, DEBBIE	W000797
SMITH, DENNY	S000527
FLAKE, JEFF	F000444
CAMPBELL, TOM	C000100
ERTEL, ALLEN E.	E000208
GALLEGO, RUBEN	G000574
KYL, JON	K000352
ROTHMAN, STEVEN R.	R000462
SIMMONS, ROB	S001152
DENTON, JEREMIAH	D000259
FOGLIETTA, THOMAS M.	F000235
BYRON, BEVERLY B.	B001220
SEWELL, TERRI A.	S001185
MINNICK, WALTER	M001175
PEASE, EDWARD A.	P000171
MINISH, JOSEPH G.	M000796
HATFIELD, MARK O.	H000343
DEMINT, JIM	D000595
D'AMOURS, NORMAN E.	D000017
GRANT, BILL	G000382
BARRETT, J. GRESHAM	B001239
REYES, SILVESTRE	R000170
COTTER, WILLIAM R.	C000799
DEWINE, MIKE	D000294
VELA, FILEMON	V000132
TIAHRT, TODD	T000260
SCHATZ, BRIAN	S001194
SWEENEY, JOHN E.	S001149
COSTA, JIM	C001059
JOHNSON, TIM	J000177
FERRARO, GERALDINE A.	F000088
CLAY, WILLIAM (BILL)	C000488
BURTON, DAN	B001149
KINZINGER, ADAM	K000378
LEWIS, RON	L000293
INSLEE, JAY	I000026
FRANKLIN, WILLIAM W.	F000347
COLE, TOM	C001053
BOULTER, BEAU	B000666
BRIGHT, BOBBY	B001264
MCKINLEY, DAVID B.	M001180
ROBINSON, TOMMY F.	R000354
SALMON, MATT	S000018
HILL, BARON P.	H001030
HUTCHISON, KAY BAILEY	H001016
DONOVAN, DANIEL M., JR.	D000625
ARCHER, BILL	A000215
MCCASKILL, CLAIRE	M001170
AYOTTE, KELLY	A000368
GARCIA, ROBERT	G000047
ALEXANDER, RODNEY	A000361
SHOWS, RONNIE	S001147
HUTTO, EARL	H001018
GRAY, WILLIAM H., III	G000402
WESTERMAN, BRUCE	W000821
RIDGE, THOMAS J.	R000243
WESTMORELAND, LYNN A.	W000796
RINALDO, MATTHEW J.	R000262
MOULTON, SETH	M001196
DUCKWORTH, TAMMY	D000622
HIMES, JAMES A.	H001047
KONNYU, ERNEST L.	K000309
DAVIS, TOM	D000136
BISHOP, TIMOTHY H.	B001242
DAVIS, SUSAN A.	D000598
MINETA, NORMAN Y.	M000794
HARRIS, CLAUDE	H000236
NUNNELEE, ALAN	N000186
JEFFRIES, HAKEEM S.	J000294
WALLOP, MALCOLM	W000092
KLOBUCHAR, AMY	K000367
LUKEN, THOMAS A.	L000508
ROUNDS, MIKE 	R000605
HILL, RICK	H000605
FOXX, VIRGINIA	F000450
TSONGAS, NIKI	T000465
KOSTMAYER, PETER H.	K000319
OTTER, C. L. (BUTCH)	O000166
SABLAN, GREGORIO KILILI CAMACHO	S001177
NORWOOD, CHARLES W.	N000159
NORCROSS, DONALD	N000188
BEAUPREZ, BOB	B001240
LAZIO, RICK	L000155
BORDALLO, MADELEINE Z.	B001245
VUCANOVICH, BARBARA F.	V000124
BLANCHARD, JAMES	B000538
DENARDIS, LAWRENCE J.	D000231
BURGENER, CLAIR W.	B001080
STOKES, LOUIS	S000948
SALAZAR, KEN	S001163
DANIELSON, GEORGE E.	D000043
GIBSON, CHRISTOPHER P.	G000564
SIKORSKI, GERRY E.	S000407
SULLIVAN, JOHN	S001155
BYRNE, BRADLEY	B001289
GARN, E. J. (JAKE)	G000072
FORBES, J. RANDY	F000445
ROSS, MIKE	R000573
RICHARDSON, LAURA	R000581
KUYKENDALL, STEVEN T.	K000357
KING, STEVE	K000362
DWYER, BERNARD J.	D000586
LIEBERMAN, JOSEPH I.	L000304
ROBERTS, PAT	R000307
CRITZ, MARK S.	C001081
SMITH, LAWRENCE	S000586
LANCASTER, H. MARTIN	L000045
BRALEY, BRUCE L.	B001259
CASE, ED	C001055
COATS, DANIEL	C000542
BISHOP, ROB	B001250
PAXON, BILL	P000148
BEREUTER, DOUG	B000403
CASEY, ROBERT P., JR.	C001070
SOLIS, HILDA L.	S001153
HINOJOSA, RUBEN	H000636
WELLSTONE, PAUL D.	W000288
ROYBAL, EDWARD R.	R000485
ASHBROOK, JOHN M.	A000221
CARR, BOB	C000178
POMEROY, EARL	P000422
BROWN-WAITE, GINNY	B001247
LEATH, MARVIN	L000180
HURD, WILL	H001073
PETERS, SCOTT H.	P000608
MAZZOLI, ROMANO L.	M000291
SESSIONS, JEFF	S001141
BREAUX, JOHN B.	B000780
RUPPERSBERGER, C. A. DUTCH	R000576
SOUTHERLAND, STEVE II	S001186
BRADY, KEVIN	B000755
RIBBLE, REID J.	R000587
ROTHFUS, KEITH J.	R000598
SODREL, MICHAEL E.	S001160
LARSON, JOHN B.	L000557
ZINKE, RYAN K.	Z000018
BARBER, RON	B001279
DICKEY, JAY	D000312
FISCHER, DEB	F000463
MACARTHUR, THOMAS	M001193
WILLIAMS, ROGER	W000816
ALLEN, GEORGE	A000121
THORNTON, RAY	T000243
DERWINSKI, EDWARD J.	D000269
OLVER, JOHN W.	O000085
BROWN, SCOTT P.	B001268
SHERWOOD, DON	S001146
HENDON, BILL	H000490
MARSHALL, JIM	M001146
KOLTER, JOSEPH P.	K000307
STAGGERS, HARLEY O., JR.	S000779
ARCURI, MICHAEL A.	A000363
ERNST, JONI 	E000295
ROYBAL-ALLARD, LUCILLE	R000486
CARNEY, CHRISTOPHER P.	C001065
TONKO, PAUL	T000469
MURPHY, CHRISTOPHER	M001169
PROXMIRE, WILLIAM	P000553
TITUS, DINA	T000468
DASCHLE, THOMAS A.	D000064
DRAKE, THELMA D.	D000605
WOFFORD, HARRIS	W000665
HEFLIN, HOWELL	H000445
BEYER, DONALD S., JR.	B001292
BURTON, JOHN	B001153
RAVENEL, ARTHUR, JR.	R000072
MAJETTE, DENISE L.	M001145
COYNE, WILLIAM J.	C000846
HARTZLER, VICKY	H001053
SCHUMER, CHARLES E.	S000148
BUNN, JIM	B001063
HANCE, KENT R.	H000144
CORKER, BOB	C001071
LLOYD, MARILYN	L000381
GRAHAM, BOB	G000352
CASTLE, MICHAEL N.	C000243
BILIRAKIS, GUS M.	B001257
ROHRABACHER, DANA	R000409
GRAMS, ROD	G000367
SPENCE, FLOYD	S000718
SESTAK, JOE	S001169
BARRASSO, JOHN	B001261
DRIEHAUS, STEVE	D000609
SANCHEZ, LORETTA	S000030
ERDAHL, ARLEN	E000198
GREEN, AL	G000553
SESSIONS, PETE	S000250
SHAHEEN, JEANNE	S001181
KING, ANGUS S., JR.	K000383
JANKLOW, WILLIAM J.	J000286
LONG, CATHY (MRS. GILLIS)	L000411
HALL, JOHN J.	H001039
JOHNSON, JAY W.	J000149
MILLER, CANDICE S.	M001150
KASSEBAUM, NANCY LANDON	K000017
METZENBAUM, HOWARD M.	M000678
RENACCI, JAMES B.	R000586
ROUKEMA, MARGE	R000465
CONDIT, GARY A.	C000670
LONG, BILLY	L000576
ROBERTS, CLINT	R000308
QUINN, JACK	Q000016
PRICE, DAVID E.	P000523
HART, GARY W.	H000287
MOLINARI, SUSAN	M000843
POSHARD, GLENN	P000452
MACHTLEY, RONALD K.	M000015
RADEL, TREY	R000596
GILLMOR, PAUL E.	G000210
TURNER, MICHAEL R.	T000463
NICKLES, DON	N000102
GREENWOOD, JAMES C.	G000439
PETRI, THOMAS E.	P000265
CANADY, CHARLES T.	C000107
SENSENBRENNER, F. JAMES, JR.	S000244
HASTINGS, DOC	H000329
COVERDELL, PAUL	C000813
MILLER, GARY G.	M001139
MCCLURE, JAMES A.	M000346
DOWDY, WAYNE	D000466
FORTUNO, LUIS G.	F000452
ZEFERETTI, LEO C.	Z000002
KISSELL, LARRY	K000369
BEATTY, JOYCE	B001281
MALONEY, CAROLYN B.	M000087
GUYER, TENNYSON	G000537
COBLE, HOWARD	C000556
BAILEY, DONALD A.	B000037
DAVIS, ROBERT W.	D000131
CHILES, LAWTON	C000356
KATKO, JOHN	K000386
BURDICK, QUENTIN N.	B001077
DUNN, JENNIFER	D000549
DELLUMS, RONALD V.	D000222
EMMER, TOM	E000294
BRINKLEY, JACK	B000839
COOKSEY, JOHN	C000735
BROUN, PAUL C.	B001262
HUBBARD, CARROLL, JR.	H000878
STEARNS, CLIFF	S000822
CONYERS, JOHN, JR.	C000714
WHITFIELD, ED	W000413
MURPHY, PATRICK	M001191
LIGHTFOOT, JIM	L000305
GRUCCI, FELIX J., JR.	G000547
LUMMIS, CYNTHIA M.	L000571
MCCRERY, JIM	M000388
SANCHEZ, LINDA T.	S001156
DYSON, ROY	D000593
ALTMIRE, JASON	A000362
BUTLER, M. CALDWELL	B001182
DECONCINI, DENNIS	D000185
ALLARD, WAYNE	A000109
COBEY, WILLIAM W.	C000555
MCCOTTER, THADDEUS G.	M001147
PRESSLER, LARRY	P000513
JONES, ED	J000216
SAIKI, PATRICIA	S000014
COHEN, WILLIAM S.	C000598
HEFTEL, CECIL	H000449
BENJAMIN, ADAM, JR.	B000363
HARDY, CRESENT	H001070
HINCHEY, MAURICE D.	H000627
LUTHER, BILL	L000521
MEEKS, GREGORY W.	M001137
SAWYER, HAROLD S.	S000087
BROOKS, JACK B.	B000880
FOSSELLA, VITO	F000440
ALEXANDER, LAMAR	A000360
CHRISTENSEN, DONNA M.	C000380
SYMMS, STEVEN D.	S001138
WILSON, PETE	W000607
MOSELEY-BRAUN, CAROL	M001025
ENZI, MICHAEL B.	E000285
BERKLEY, SHELLEY	B001231
GINGREY, PHIL	G000550
BONO, SONNY	B000622
SHADEGG, JOHN B.	S000275
PIERLUISI, PEDRO R.	P000596
ADAMS, SANDY	A000366
TOWNS, EDOLPHUS	T000326
TUCKER, WALTER R., III	T000405
DURBIN, RICHARD J.	D000563
WORTLEY, GEORGE C.	W000752
MONSON, DAVID S.	M000860
RODRIGUEZ, CIRO D.	R000568
MCCLORY, ROBERT	M000340
BATES, JIM	B000236
GRAVES, GARRET	G000577
BONKER, DON	B000620
HANCOCK, MEL	H000151
CLINTON, HILLARY RODHAM	C001041
BOYDA, NANCY E.	B001258
ROSTENKOWSKI, DAN	R000458
SNYDER, M. G. (GENE)	S000669
LANKFORD, JAMES	L000575
GOSAR, PAUL A.	G000565
KINDNESS, THOMAS N.	K000190
SCOTT, TIM	S001184
LINDER, JOHN	L000321
DELAY, TOM	D000217
PRYOR, MARK L.	P000590
HOAGLAND, PETER	H000652
WILSON, FREDERICA S.	W000808
HOKE, MARTIN R.	H000707
RIVERS, LYNN N.	R000281
BONILLA, HENRY	B000617
SERRANO, JOSE E.	S000248
POMPEO, MIKE	P000602
GRADISON, WILLIS D., JR.	G000349
GRANDY, FRED	G000371
PITTS, JOSEPH R.	P000373
SANDLIN, MAX	S000044
BOSCO, DOUGLAS H.	B000648
TORRICELLI, ROBERT G.	T000317
JONES, WALTER B., JR.	J000255
D'AMATO, ALFONSE	D000018
NOLAN, RICHARD M.	N000127
SINEMA, KYRSTEN	S001191
BROWN, HANK	B000919
MICA, JOHN L.	M000689
HUFFMAN, JARED	H001068
BONER, WILLIAM H.	B000615
BOND, CHRISTOPHER S.	B000611
HOOLEY, DARLENE	H000762
NELSON, BILL	N000032
WATSON, DIANE E.	W000794
KAZEN, ABRAHAM, JR.	K000025
GRAVES, SAM	G000546
DOMENICI, PETE V.	D000407
RIGELL, E. SCOTT	R000589
FUSTER, JAMIE B.	F000435
FOLEY, MARK	F000238
BORSKI, ROBERT A.	B000644
BOOKER, CORY A.	B001288
LEAHY, PATRICK J.	L000174
STENHOLM, CHARLES W.	S000851
FINGERHUT, ERIC D.	F000128
DE LA GARZA, E.	D000203
BIGGERT, JUDY	B001232
BRIDENSTINE, JIM	B001283
MATTINGLY, MACK	M000257
CORNYN, JOHN	C001056
WEBB, JIM	W000803
JENKINS, WILLIAM L.	J000082
MADIGAN, EDWARD R.	M000041
LIPINSKI, WILLIAM O.	L000342
SCHWEIKERT, DAVID	S001183
BACHUS, SPENCER	B000013
SMITH, ROBERT	S000607
BROOKS, SUSAN W.	B001284
RIVERA, DAVID	R000590
HIGGINS, BRIAN	H001038
TAKANO, MARK	T000472
MCDERMOTT, JIM	M000404
REID, HARRY	R000146
WISE, ROBERT E., JR.	W000654
JEFFRIES, JIM	J000074
ROBB, CHARLES S.	R000295
WALZ, TIMOTHY J.	W000799
PARKER, MIKE	P000066
DONNELLY, BRIAN J.	D000416
GOODLING, WILLIAM F.	G000291
MIKULSKI, BARBARA A.	M000702
LANCE, LEONARD	L000567
HEINRICH, MARTIN	H001046
CARNAHAN, JEAN	C001043
TIPTON, SCOTT  R.	T000470
MYERS, JOHN T.	M001130
ANNUNZIO, FRANK	A000212
ROCKEFELLER, JOHN D., IV	R000361
PAPPAS, MICHAEL	P000049
ROSE, CHARLIE	R000436
WOMACK, STEVE	W000809
UNDERWOOD, ROBERT A.	U000014
SANGMEISTER, GEORGE E.	S000056
CHANDLER, BEN	C001058
HAMMERSCHMIDT, JOHN P.	H000124
CHILDERS, TRAVIS	C001074
RAHALL, NICK J., II	R000011
LUGAR, RICHARD G.	L000504
WALTERS, MIMI	W000820
COSTELLO, JERRY F.	C000794
WHITTEN, JAMIE L.	W000428
RODGERS, CATHY MCMORRIS	M001159
MCCANDLESS, ALFRED A. (AL)	M000306
SALAZAR, JOHN T.	S001158
WINN, LARRY, JR.	W000636
BUERKLE, ANN MARIE	B001276
OXLEY, MICHAEL G.	O000163
BOCCIERI, JOHN A.	B001263
CONRAD, KENT	C000705
KOSMAS, SUZANNE M.	K000370
WYDEN, RON	W000779
SLAUGHTER, LOUISE MCINTOSH	S000480
LAUTENBERG, FRANK R.	L000123
FINCHER, STEPHEN LEE	F000458
DEFAZIO, PETER A.	D000191
ESHOO, ANNA G.	E000215
CUBIN, BARBARA	C000962
CLARK, KATHERINE M.	C001101
STUMP, BOB	S001044
THURMOND, STROM	T000254
HAYES, JAMES A.	H000390
BROOMFIELD, WILLIAM S.	B000890
LEWIS, THOMAS F.	L000295
CHANDLER, ROD D.	C000293
WHEAT, ALAN	W000326
BAKER, BILL	B000078
MCCARTHY, KEVIN	M001165
ISTOOK, ERNEST J., JR.	I000047
WASHINGTON, CRAIG A.	W000177
CARDENAS, TONY	C001097
ROGERS, HAROLD	R000395
DENT, CHARLES W.	D000604
KILDEE, DALE E.	K000172
FARR, SAM	F000030
RICE, TOM	R000597
WELDON, DAVE	W000267
ROTH JR., WILLIAM V.	R000460
MALONEY, SEAN PATRICK	M001185
DREIER, DAVID	D000492
SCHENK, LYNN	S000119
LEBOUTILLIER, JOHN	L000547
MCMAHON, MICHAEL E.	M001174
COFFMAN, MIKE	C001077
HALL, SAM B., JR.	H000070
WATKINS, WES	W000194
DORNAN, ROBERT K.	D000435
BUYER, STEVE	B001203
PERKINS, CARL DEWEY	P000230
FIEDLER, BOBBI	F000102
CURSON, DAVID ALAN	C001089
MENENDEZ, ROBERT	M000639
WEINER, ANTHONY D.	W000792
CASTRO, JOAQUIN	C001091
POLIS, JARED	P000598
EVERETT, TERRY	E000268
GRAMM, PHIL	G000365
MORELLA, CONSTANCE A.	M000941
DOYLE, MICHAEL F.	D000482
MYRICK, SUE WILKINS	M001134
MOLINARI, GUY	M000842
MASCARA, FRANK	M000212
PHELPS, DAVID D.	P000584
FRAHM, SHEILA	F000438
MELANCON, CHARLIE	M001161
STANTON, J. WILLIAM	S000804
BROWNBACK, SAM	B000953
HAHN, JANICE	H001063
ESPY, MIKE	E000218
HAMBURG, DAN	H000096
JENKINS, EVAN H.	J000297
